10001,40.7506,-73.9971,New York,New York
10301,40.6286,-74.0959,Staten Island,New York
10451,40.8208,-73.9239,Bronx,New York
10501,41.2944,-73.7607,Amawalk,New York
10502,41.0114,-73.8415,Ardsley,New York
10503,41.0265,-73.8752,Ardsley On Hudson,New York
10504,41.1312,-73.7059,Armonk,New York
10505,41.3421,-73.7456,Baldwin Place,New York
10506,41.1888,-73.6339,Bedford,New York
10507,41.2284,-73.6863,Bedford Hills,New York
10509,41.4117,-73.5944,Brewster,New York
10510,41.1409,-73.8345,Briarcliff Manor,New York
10511,41.263,-73.9437,Buchanan,New York
10512,41.4492,-73.7121,Carmel,New York
10514,41.1731,-73.7709,Chappaqua,New York
10516,41.4533,-73.9024,Cold Spring,New York
10517,41.2982,-73.8619,Crompond,New York
10518,41.2678,-73.6003,Cross River,New York
10519,41.3502,-73.6557,Croton Falls,New York
10520,41.2206,-73.8716,Croton On Hudson,New York
10522,41.0123,-73.8648,Dobbs Ferry,New York
10523,41.06,-73.8189,Elmsford,New York
10524,41.3706,-73.922,Garrison,New York
10526,41.2911,-73.6678,Goldens Bridge,New York
10527,41.3191,-73.7645,Granite Springs,New York
10528,40.9783,-73.7229,Harrison,New York
10530,41.0234,-73.8077,Hartsdale,New York
10532,41.0991,-73.8001,Hawthorne,New York
10533,41.0384,-73.8557,Irvington,New York
10535,41.3351,-73.799,Jefferson Valley,New York
10536,41.2698,-73.6872,Katonah,New York
10537,41.3379,-73.8851,Lake Peekskill,New York
10538,40.938,-73.7567,Larchmont,New York
10540,41.338,-73.7254,Lincolndale,New York
10541,41.3797,-73.7512,Mahopac,New York
10542,41.3728,-73.7624,Mahopac Falls,New York
10543,40.952,-73.7355,Mamaroneck,New York
10545,41.1786,-73.8355,Maryknoll,New York
10546,41.1955,-73.7999,Millwood,New York
10547,41.3117,-73.8462,Mohegan Lake,New York
10548,41.2472,-73.935,Montrose,New York
10549,41.2007,-73.721,Mount Kisco,New York
10550,40.9064,-73.835,Mount Vernon,New York
10560,41.332,-73.6022,North Salem,New York
10562,41.1925,-73.831,Ossining,New York
10566,41.2892,-73.9184,Peekskill,New York
10567,41.289,-73.898,Cortlandt Manor,New York
10570,41.1301,-73.7872,Pleasantville,New York
10573,41.0168,-73.6773,Port Chester,New York
10576,41.2134,-73.5737,Pound Ridge,New York
10577,41.0379,-73.7136,Purchase,New York
10578,41.3174,-73.6745,Purdys,New York
10579,41.3938,-73.8361,Putnam Valley,New York
10580,40.9789,-73.6931,Rye,New York
10583,40.9892,-73.7931,Scarsdale,New York
10587,40.9597,-73.6869,Shenorock,New York
10588,41.3353,-73.8215,Shrub Oak,New York
10589,41.3299,-73.6952,Somers,New York
10590,41.2539,-73.5373,South Salem,New York
10591,41.0859,-73.8442,Tarrytown,New York
10594,41.1164,-73.7727,Thornwood,New York
10595,41.0865,-73.782,Valhalla,New York
10596,41.2561,-73.9591,Verplanck,New York
10597,41.2941,-73.5968,Waccabuc,New York
10598,41.2818,-73.7933,Yorktown Heights,New York
10601,41.033,-73.765,White Plains,New York
10604,41.0593,-73.7394,West Harrison,New York
10701,40.9453,-73.8804,Yonkers,New York
10706,40.9898,-73.8675,Hastings On Hudson,New York
10707,40.9605,-73.8228,Tuckahoe,New York
10708,40.9382,-73.8307,Bronxville,New York
10709,40.9546,-73.8094,Eastchester,New York
10801,40.9176,-73.7844,New Rochelle,New York
10803,40.9003,-73.8066,Pelham,New York
10901,41.1388,-74.1161,Suffern,New York
10910,41.2771,-74.1352,Arden,New York
10911,41.3168,-74.0031,Bear Mountain,New York
10912,41.2477,-74.2925,Bellvale,New York
10913,41.0689,-73.9555,Blauvelt,New York
10914,41.416,-74.1996,Blooming Grove,New York
10915,41.5423,-74.3582,Bullville,New York
10916,41.4421,-74.2487,Campbell Hall,New York
10917,41.3244,-74.117,Central Valley,New York
10918,41.3477,-74.2587,Chester,New York
10919,41.5285,-74.3832,Circleville,New York
10920,41.1529,-73.9405,Congers,New York
10921,41.3298,-74.3639,Florida,New York
10922,41.3335,-73.9944,Fort Montgomery,New York
10923,41.2023,-73.9998,Garnerville,New York
10924,41.3795,-74.3467,Goshen,New York
10925,41.2101,-74.3033,Greenwood Lake,New York
10926,41.3016,-74.1245,Harriman,New York
10927,41.1926,-73.9671,Haverstraw,New York
10928,41.3534,-73.9981,Highland Falls,New York
10930,41.3648,-74.1154,Highland Mills,New York
10931,41.1474,-74.1646,Hillburn,New York
10932,41.4821,-74.4646,Howells,New York
10933,41.3653,-74.5142,Johnson,New York
10940,41.4512,-74.4702,Middletown,New York
10949,41.33,-74.1922,Monroe,New York
10952,41.1137,-74.0794,Monsey,New York
10953,41.405,-74.0774,Mountainville,New York
10954,41.1,-74.0128,Nanuet,New York
10956,41.1569,-73.9944,New City,New York
10958,41.3734,-74.4304,New Hampton,New York
10959,41.2646,-74.3681,New Milford,New York
10960,41.0919,-73.9258,Nyack,New York
10962,41.0491,-73.9591,Orangeburg,New York
10963,41.4633,-74.5443,Otisville,New York
10964,41.0162,-73.9144,Palisades,New York
10965,41.0618,-74.0128,Pearl River,New York
10968,41.0394,-73.9178,Piermont,New York
10969,41.2926,-74.4888,Pine Island,New York
10970,41.188,-74.0777,Pomona,New York
10973,41.3849,-74.4761,Slate Hill,New York
10974,41.168,-74.1782,Sloatsburg,New York
10975,41.258,-74.174,Southfields,New York
10976,41.0286,-73.9263,Sparkill,New York
10977,41.1177,-74.0481,Spring Valley,New York
10979,41.1827,-74.315,Sterling Forest,New York
10980,41.2361,-74.0465,Stony Point,New York
